"ordre","franja","tipo_dia","media_hw","sd_hw","n"
26,"6-8h","Fin de semana",13.1290780141844,4.26777678618271,47
27,"6-8h","Fin de semana",12.9794326241135,4.26668961266186,47
28,"6-8h","Fin de semana",13.0741134751773,4.60910122610117,47
29,"6-8h","Fin de semana",13.086524822695,4.68285576797899,47
30,"6-8h","Fin de semana",13.0429078014184,4.76550576808108,47
31,"6-8h","Fin de semana",13.0943262411347,4.76491337547641,47
32,"6-8h","Fin de semana",13.0047101449275,4.84183627935645,46
33,"6-8h","Fin de semana",13.1815602836879,5.07628310573751,47
34,"6-8h","Fin de semana",13.0702898550725,4.99170164835757,46
35,"6-8h","Fin de semana",13.4822222222222,4.89839233573093,45
36,"6-8h","Fin de semana",13.3687943262411,5.20170751533919,47
37,"6-8h","Fin de semana",13.5383720930233,4.69495892956624,43
38,"6-8h","Fin de semana",13.6359259259259,5.19997566471039,45
39,"6-8h","Fin de semana",13.6922222222222,5.00396761772016,45
1,"8-10h","Fin de semana",13.2258064516129,2.06855122390822,62
2,"8-10h","Fin de semana",13.3970430107527,2.70716267123693,62
3,"8-10h","Fin de semana",13.3548387096774,2.77952176289187,62
4,"8-10h","Fin de semana",13.4819892473118,3.0436671666554,62
5,"8-10h","Fin de semana",13.5129032258065,3.15682020987509,62
6,"8-10h","Fin de semana",13.5537634408602,3.42314981251668,62
7,"8-10h","Fin de semana",13.5790322580645,3.55606147063198,62
8,"8-10h","Fin de semana",13.6317204301075,3.71444983960012,62
9,"8-10h","Fin de semana",13.7827777777778,3.89449967857111,60
10,"8-10h","Fin de semana",13.7849726775956,3.9224457422752,61
11,"8-10h","Fin de semana",13.7128415300546,4.21392246391366,61
12,"8-10h","Fin de semana",13.7806451612903,4.49456481473423,62
13,"8-10h","Fin de semana",13.3122641509434,4.51819345817148,53
14,"8-10h","Fin de semana",13.7436111111111,4.51601678947413,60
15,"8-10h","Fin de semana",13.866384180791,4.77292962429987,59
16,"8-10h","Fin de semana",13.682183908046,4.7382499196293,58
17,"8-10h","Fin de semana",13.7252873563218,4.76788951044525,58
18,"8-10h","Fin de semana",13.716091954023,4.80797336213973,58
19,"8-10h","Fin de semana",13.6592592592593,4.50592862042388,54
20,"8-10h","Fin de semana",13.6939655172414,4.92384766332748,58
21,"8-10h","Fin de semana",13.4565476190476,5.17432245949775,56
22,"8-10h","Fin de semana",13.4815476190476,5.13092395106677,56
23,"8-10h","Fin de semana",13.7704022988506,5.50065213491913,58
24,"8-10h","Fin de semana",13.5190476190476,5.1654773103902,56
25,"8-10h","Fin de semana",13.7873563218391,5.42347822759824,58
26,"8-10h","Fin de semana",13.6641975308642,5.11004417205265,54
27,"8-10h","Fin de semana",13.9416666666667,5.35842770546991,56
28,"8-10h","Fin de semana",14.2160606060606,5.36707206853527,55
29,"8-10h","Fin de semana",13.9223214285714,5.57349361519716,56
30,"8-10h","Fin de semana",14.0969696969697,5.87727461519,55
31,"8-10h","Fin de semana",13.9197530864198,5.87358625130424,54
32,"8-10h","Fin de semana",14.4901960784314,5.98497301253601,51
33,"8-10h","Fin de semana",14.2842767295597,5.80068097156826,53
34,"8-10h","Fin de semana",14.3551515151515,6.0858010154171,55
35,"8-10h","Fin de semana",14.4111111111111,5.71491488712305,48
36,"8-10h","Fin de semana",14.5443333333333,5.83515968494033,50
37,"8-10h","Fin de semana",14.313,6.11592220533981,50
38,"8-10h","Fin de semana",14.4608843537415,5.91778505765985,49
39,"8-10h","Fin de semana",14.7,5.58649742579122,44
1,"10-12h","Fin de semana",13.0270833333333,1.49929701809327,48
2,"10-12h","Fin de semana",12.8166666666667,2.2085343813206,48
3,"10-12h","Fin de semana",12.9142361111111,2.17642915081165,48
4,"10-12h","Fin de semana",12.740780141844,2.18927945845887,47
5,"10-12h","Fin de semana",12.7968085106383,2.27997912498355,47
6,"10-12h","Fin de semana",12.6982269503546,2.34119079192307,47
7,"10-12h","Fin de semana",12.7290780141844,2.52063577039964,47
8,"10-12h","Fin de semana",12.7244680851064,2.41126044740408,47
9,"10-12h","Fin de semana",12.6166666666667,2.62125825359527,44
10,"10-12h","Fin de semana",12.7960992907801,3.04626407126161,47
11,"10-12h","Fin de semana",12.7386524822695,3.54450330797949,47
12,"10-12h","Fin de semana",12.5051851851852,3.91783641820017,45
13,"10-12h","Fin de semana",12.2837209302326,3.66743766852837,43
14,"10-12h","Fin de semana",12.6599290780142,4.06378886589247,47
15,"10-12h","Fin de semana",12.3425925925926,4.49188740610622,45
16,"10-12h","Fin de semana",12.3284090909091,4.51434632401475,44
17,"10-12h","Fin de semana",11.9236434108527,4.34104203311932,43
18,"10-12h","Fin de semana",11.8916666666667,4.59313258300526,44
19,"10-12h","Fin de semana",12.3670454545455,4.52162688335786,44
20,"10-12h","Fin de semana",12.1463768115942,4.73869273144038,46
21,"10-12h","Fin de semana",12.1039855072464,4.90896909645076,46
22,"10-12h","Fin de semana",12.2198581560284,4.94946154088102,47
23,"10-12h","Fin de semana",12.3550724637681,5.21184295922944,46
24,"10-12h","Fin de semana",12.3382978723404,5.15041027737454,47
25,"10-12h","Fin de semana",12.3297101449275,5.05691912385674,46
26,"10-12h","Fin de semana",12.2656028368794,5.4756448060234,47
27,"10-12h","Fin de semana",12.222695035461,5.48075401377987,47
28,"10-12h","Fin de semana",12.1872340425532,5.42367129342348,47
29,"10-12h","Fin de semana",12.1730496453901,5.72845949858688,47
30,"10-12h","Fin de semana",12.1957446808511,5.84107298983033,47
31,"10-12h","Fin de semana",12.1957446808511,5.90345684786896,47
32,"10-12h","Fin de semana",12.2198581560284,6.03773824136408,47
33,"10-12h","Fin de semana",12.1575757575758,5.89686494746129,44
34,"10-12h","Fin de semana",11.5911111111111,6.02774268015663,45
35,"10-12h","Fin de semana",11.7708333333333,6.06073494511478,44
36,"10-12h","Fin de semana",11.7619047619048,6.38574407948697,42
37,"10-12h","Fin de semana",11.8066666666667,6.1893730202532,45
38,"10-12h","Fin de semana",11.8116279069768,6.06919049072836,43
39,"10-12h","Fin de semana",12.3151960784314,6.47114986691849,34
1,"14-16h","Fin de semana",13.3067796610169,1.68352997213853,59
2,"14-16h","Fin de semana",13.3612994350282,2.21479144750002,59
3,"14-16h","Fin de semana",13.4124293785311,2.31323361195748,59
4,"14-16h","Fin de semana",13.3822033898305,2.65519599107538,59
5,"14-16h","Fin de semana",13.3731638418079,3.02721692449386,59
6,"14-16h","Fin de semana",13.3214689265537,3.10122959616301,59
